gene,spearman_rho,p_value,q_value
Gpx4,0.15125899561300554,2.4076870920943773e-24,1.6819778731698177e-23
Kng2,-0.15120711903267275,2.4966891133481204e-24,1.738012104608885e-23
Ttc14,-0.1510900308136787,2.7097247560065477e-24,1.8796932781140156e-23
C4a,-0.1510732873095652,2.741624753382875e-24,1.895172076027253e-23
Qk,-0.1508441254021987,3.2174855463784e-24,2.2163654791603126e-23
Tmed9,-0.1507306017127249,3.482651703811651e-24,2.3906952841790396e-23
B4galt6,-0.15053812624191434,3.982558065705573e-24,2.724400448408276e-23
Srrm2,-0.15053006963091442,4.004965282943983e-24,2.730281504958708e-23
Ncor1,-0.1505020839399362,4.083773995004252e-24,2.7744402708327855e-23
Cdh2,-0.1504104834482239,4.3526185862657555e-24,2.946961282550479e-23
Hp,-0.15035032199572002,4.538650463978479e-24,3.062427292588892e-23
Slc8a1,-0.15005837277350315,5.559363448657991e-24,3.73838827823022e-23
Lhpp,-0.14917201199109903,1.0266328323014405e-23,6.860888759704872e-23
Pbrm1,-0.1491711767227202,1.0272246195612756e-23,6.860888759704872e-23
Rhbg,-0.14914108726692415,1.0487696929748621e-23,6.981204319903376e-23
Lpl,-0.14898367443132032,1.16898815846838e-23,7.755334192254991e-23
Atp1a1,-0.14880345759567432,1.3234422303147578e-23,8.750653141579518e-23
A230050P20Rik,-0.14870099674334458,1.420092547337382e-23,9.358409886953347e-23
Scarb1,-0.1484241926785888,1.7175433364612975e-23,1.1268758100563025e-22
Os9,-0.14842094318486226,1.7213783239099815e-23,1.1268758100563025e-22
Npc1,-0.14743264592997704,3.3842631551460204e-23,2.2081479398427997e-22
Gpld1,-0.14735177793279655,3.576005055302786e-23,2.3255796033992127e-22
Sds,0.14728258300266223,3.748578705094346e-23,2.429816426220171e-22
Ces2a,-0.14724965960620795,3.833559641897092e-23,2.476780200009984e-22
Ephx1,-0.14693956508679723,4.7335731697008795e-23,3.048297770846462e-22
Rnf128,-0.14633467537861106,7.133045553262542e-23,4.578581512597417e-22
Serinc3,-0.14573613883033965,1.0684399621274108e-22,6.835941116912269e-22
Akap1,-0.14526728819584137,1.464504391141271e-22,9.339758649310621e-22
Atp13a3,-0.14473939198633226,2.086108387125319e-22,1.3261209907867383e-21
Bhlhe40,-0.14462194638657053,2.256534972664034e-22,1.429862064409229e-21
Arl6ip1,-0.1445564353009453,2.357510472746785e-22,1.4890729088244072e-21
Insr,-0.14413327504702506,3.1263974231684176e-22,1.9684355750331087e-21
